,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
332,Bilma,18.6853,12.9164,72.63,21,0,19.01,NE,1612341557
333,Yulara,-25.2406,130.9889,100.4,13,100,4.61,AU,1612341557
334,Olkhovka,53.2115,60.6069,33.44,99,100,6.13,RU,1612341558
335,Kumul,42.8,93.45,38.37,58,17,6.49,CN,1612341549
336,Caravelas,-17.7125,-39.2481,74.39,90,97,3.09,BR,1612341558
337,Bani Walid,31.7566,13.9942,60.37,57,0,15.99,LY,1612341558
338,Salalah,17.0151,54.0924,82.4,28,0,6.91,OM,1612341559
339,Banda Aceh,5.5577,95.3222,84.85,69,67,10.07,ID,1612341559
340,Alegrete,-29.7831,-55.7919,73.53,95,95,5.66,BR,1612341559
341,Lobito,-12.3481,13.5456,81.03,62,0,5.82,AO,1612341559
342,Pyu,18.4833,96.4333,94.59,14,0,4.07,MM,1612341559
343,Marawi,7.9986,124.2928,82.99,75,95,4.0,PH,1612341560
344,Naze,28.3667,129.4833,57.2,58,75,8.05,JP,1612341560
345,Sitka,57.0531,-135.33,32.0,80,90,5.19,US,1612341560
346,Ponta do Sol,32.6667,-17.1,55.6,75,35,3.0,PT,1612341561
347,Mahébourg,-20.4081,57.7,86.0,70,75,12.66,MU,1612341561
348,Chingirlau,51.095,54.0814,32.86,99,100,8.7,KZ,1612341561
349,Bubaque,11.2833,-15.8333,77.59,61,0,4.45,GW,1612341561
350,Aripuanã,-9.1667,-60.6333,71.55,99,69,0.11,BR,1612341561
351,Shelburne,44.0787,-80.2041,17.62,93,100,16.91,CA,1612341562
